Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 3, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 2,359,424
  scalars                 : 6
  total                   : 10,748,038
Estimated FLOPs per token: 3.932237e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011044 | lrm: 1.00 | dt: 24086ms | tok/sec: 21,767 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.089343 | lrm: 1.00 | dt: 466ms | tok/sec: 1,124,806 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.928894 | lrm: 1.00 | dt: 428ms | tok/sec: 1,225,946 | mfu: 4.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.583807 | lrm: 1.00 | dt: 567ms | tok/sec: 924,039 | mfu: 3.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.274641 | lrm: 1.00 | dt: 460ms | tok/sec: 1,138,995 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.003890 | lrm: 1.00 | dt: 461ms | tok/sec: 1,137,371 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.776306 | lrm: 1.00 | dt: 462ms | tok/sec: 1,134,092 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.563563 | lrm: 1.00 | dt: 613ms | tok/sec: 855,348 | mfu: 3.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.367335 | lrm: 1.00 | dt: 569ms | tok/sec: 922,051 | mfu: 3.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.180249 | lrm: 1.00 | dt: 474ms | tok/sec: 1,105,724 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.011292 | lrm: 1.00 | dt: 430ms | tok/sec: 1,220,068 | mfu: 4.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.862335 | lrm: 1.00 | dt: 449ms | tok/sec: 1,168,649 | mfu: 4.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.725455 | lrm: 1.00 | dt: 461ms | tok/sec: 1,138,259 | mfu: 4.5% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.604217 | lrm: 1.00 | dt: 439ms | tok/sec: 1,195,158 | mfu: 4.7% | epoch: 1 | remaining: 299s    
step 00308 (43.9%) | loss: 3.554692 | lrm: 1.00 | dt: 503ms | tok/sec: 1,042,218 | mfu: 4.1% | epoch: 1 | remaining: 168s    
step 00309 (44.1%) | loss: 3.543588 | lrm: 1.00 | dt: 488ms | tok/sec: 1,074,329 | mfu: 4.3% | epoch: 1 | remaining: 167s    
step 00310 (44.3%) | loss: 3.544311 | lrm: 1.00 | dt: 451ms | tok/sec: 1,163,101 | mfu: 4.6% | epoch: 1 | remaining: 167s    
step 00311 (44.4%) | loss: 3.552654 | lrm: 1.00 | dt: 407ms | tok/sec: 1,288,240 | mfu: 5.1% | epoch: 1 | remaining: 166s    
step 00312 (44.6%) | loss: 3.553665 | lrm: 1.00 | dt: 396ms | tok/sec: 1,325,022 | mfu: 5.3% | epoch: 1 | remaining: 166s    
step 00313 (44.7%) | loss: 3.560408 | lrm: 1.00 | dt: 416ms | tok/sec: 1,259,068 | mfu: 5.0% | epoch: 1 | remaining: 165s    
step 00314 (44.8%) | loss: 3.557036 | lrm: 1.00 | dt: 420ms | tok/sec: 1,248,820 | mfu: 5.0% | epoch: 1 | remaining: 165s    
step 00315 (45.0%) | loss: 3.550871 | lrm: 1.00 | dt: 374ms | tok/sec: 1,401,709 | mfu: 5.6% | epoch: 1 | remaining: 165s    
step 00316 (45.1%) | loss: 3.554416 | lrm: 1.00 | dt: 388ms | tok/sec: 1,352,323 | mfu: 5.4% | epoch: 1 | remaining: 164s    
step 00317 (45.2%) | loss: 3.546638 | lrm: 1.00 | dt: 434ms | tok/sec: 1,208,716 | mfu: 4.8% | epoch: 1 | remaining: 164s    
step 00318 (45.4%) | loss: 3.543050 | lrm: 1.00 | dt: 461ms | tok/sec: 1,136,453 | mfu: 4.5% | epoch: 1 | remaining: 163s    
step 00319 (45.5%) | loss: 3.540235 | lrm: 1.00 | dt: 407ms | tok/sec: 1,286,843 | mfu: 5.1% | epoch: 1 | remaining: 163s    
step 00320 (45.7%) | loss: 3.554580 | lrm: 1.00 | dt: 440ms | tok/sec: 1,192,109 | mfu: 4.7% | epoch: 1 | remaining: 163s    
step 00321 (45.8%) | loss: 3.556605 | lrm: 1.00 | dt: 458ms | tok/sec: 1,143,537 | mfu: 4.5% | epoch: 1 | remaining: 162s    
step 00322 (46.0%) | loss: 3.553702 | lrm: 1.00 | dt: 432ms | tok/sec: 1,214,766 | mfu: 4.8% | epoch: 1 | remaining: 162s    
step 00323 (46.1%) | loss: 3.551715 | lrm: 1.00 | dt: 376ms | tok/sec: 1,394,694 | mfu: 5.5% | epoch: 1 | remaining: 161s    
step 00324 (46.2%) | loss: 3.550083 | lrm: 1.00 | dt: 373ms | tok/sec: 1,406,312 | mfu: 5.6% | epoch: 1 | remaining: 161s    
step 00325 (46.4%) | loss: 3.539060 | lrm: 1.00 | dt: 391ms | tok/sec: 1,342,292 | mfu: 5.3% | epoch: 1 | remaining: 161s    
step 00326 (46.5%) | loss: 3.551385 | lrm: 1.00 | dt: 405ms | tok/sec: 1,294,184 | mfu: 5.1% | epoch: 1 | remaining: 160s    
step 00327 (46.6%) | loss: 3.547786 | lrm: 1.00 | dt: 390ms | tok/sec: 1,345,205 | mfu: 5.3% | epoch: 1 | remaining: 160s    
step 00328 (46.8%) | loss: 3.547834 | lrm: 1.00 | dt: 407ms | tok/sec: 1,288,461 | mfu: 5.1% | epoch: 1 | remaining: 159s    
step 00329 (46.9%) | loss: 3.550662 | lrm: 1.00 | dt: 417ms | tok/sec: 1,256,447 | mfu: 5.0% | epoch: 1 | remaining: 159s    
step 00330 (47.0%) | loss: 3.554531 | lrm: 1.00 | dt: 407ms | tok/sec: 1,286,776 | mfu: 5.1% | epoch: 1 | remaining: 159s    
step 00331 (47.2%) | loss: 3.560373 | lrm: 1.00 | dt: 376ms | tok/sec: 1,395,561 | mfu: 5.5% | epoch: 1 | remaining: 158s    
step 00332 (47.3%) | loss: 3.562881 | lrm: 1.00 | dt: 394ms | tok/sec: 1,330,051 | mfu: 5.3% | epoch: 1 | remaining: 158s    
step 00333 (47.4%) | loss: 3.568389 | lrm: 1.00 | dt: 404ms | tok/sec: 1,299,297 | mfu: 5.2% | epoch: 1 | remaining: 157s    
step 00334 (47.6%) | loss: 3.565743 | lrm: 1.00 | dt: 380ms | tok/sec: 1,378,986 | mfu: 5.5% | epoch: 1 | remaining: 157s    
step 00335 (47.7%) | loss: 3.561676 | lrm: 1.00 | dt: 385ms | tok/sec: 1,360,172 | mfu: 5.4% | epoch: 1 | remaining: 157s    
step 00336 (47.8%) | loss: 3.561400 | lrm: 1.00 | dt: 385ms | tok/sec: 1,361,581 | mfu: 5.4% | epoch: 1 | remaining: 156s    
step 00337 (47.9%) | loss: 3.558993 | lrm: 1.00 | dt: 423ms | tok/sec: 1,238,135 | mfu: 4.9% | epoch: 1 | remaining: 156s    
step 00338 (48.1%) | loss: 3.554676 | lrm: 1.00 | dt: 372ms | tok/sec: 1,409,517 | mfu: 5.6% | epoch: 1 | remaining: 155s    
step 00339 (48.2%) | loss: 3.557335 | lrm: 1.00 | dt: 389ms | tok/sec: 1,347,878 | mfu: 5.4% | epoch: 1 | remaining: 155s    
step 00340 (48.3%) | loss: 3.557587 | lrm: 1.00 | dt: 397ms | tok/sec: 1,320,514 | mfu: 5.2% | epoch: 1 | remaining: 155s    
step 00341 (48.5%) | loss: 3.560873 | lrm: 1.00 | dt: 386ms | tok/sec: 1,356,670 | mfu: 5.4% | epoch: 1 | remaining: 154s    
step 00342 (48.6%) | loss: 3.559522 | lrm: 1.00 | dt: 397ms | tok/sec: 1,320,266 | mfu: 5.2% | epoch: 1 | remaining: 154s    
step 00343 (48.7%) | loss: 3.555457 | lrm: 1.00 | dt: 415ms | tok/sec: 1,264,403 | mfu: 5.0% | epoch: 1 | remaining: 153s    
step 00344 (48.9%) | loss: 3.551862 | lrm: 1.00 | dt: 372ms | tok/sec: 1,408,287 | mfu: 5.6% | epoch: 1 | remaining: 153s    
step 00345 (49.0%) | loss: 3.552239 | lrm: 1.00 | dt: 384ms | tok/sec: 1,363,738 | mfu: 5.4% | epoch: 1 | remaining: 153s    
step 00346 (49.1%) | loss: 3.547508 | lrm: 1.00 | dt: 409ms | tok/sec: 1,281,660 | mfu: 5.1% | epoch: 1 | remaining: 152s    
step 00347 (49.3%) | loss: 3.539305 | lrm: 1.00 | dt: 366ms | tok/sec: 1,433,952 | mfu: 5.7% | epoch: 1 | remaining: 152s    
step 00348 (49.4%) | loss: 3.533679 | lrm: 1.00 | dt: 414ms | tok/sec: 1,265,524 | mfu: 5.0% | epoch: 1 | remaining: 151s    
step 00349 (49.5%) | loss: 3.530605 | lrm: 1.00 | dt: 374ms | tok/sec: 1,401,576 | mfu: 5.6% | epoch: 1 | remaining: 151s    
step 00350 (49.6%) | loss: 3.528012 | lrm: 1.00 | dt: 380ms | tok/sec: 1,380,180 | mfu: 5.5% | epoch: 1 | remaining: 151s    
step 00351 (49.8%) | loss: 3.526793 | lrm: 1.00 | dt: 375ms | tok/sec: 1,399,300 | mfu: 5.6% | epoch: 1 | remaining: 150s    
step 00352 (49.9%) | loss: 3.533118 | lrm: 1.00 | dt: 415ms | tok/sec: 1,262,334 | mfu: 5.0% | epoch: 1 | remaining: 150s    
step 00353 (50.0%) | loss: 3.523538 | lrm: 1.00 | dt: 395ms | tok/sec: 1,328,458 | mfu: 5.3% | epoch: 1 | remaining: 150s    
step 00354 (50.2%) | loss: 3.517308 | lrm: 1.00 | dt: 385ms | tok/sec: 1,362,270 | mfu: 5.4% | epoch: 1 | remaining: 149s    
step 00355 (50.3%) | loss: 3.513910 | lrm: 1.00 | dt: 401ms | tok/sec: 1,307,810 | mfu: 5.2% | epoch: 1 | remaining: 149s    
step 00356 (50.4%) | loss: 3.523290 | lrm: 1.00 | dt: 400ms | tok/sec: 1,311,887 | mfu: 5.2% | epoch: 1 | remaining: 148s    
step 00357 (50.6%) | loss: 3.528784 | lrm: 1.00 | dt: 461ms | tok/sec: 1,138,221 | mfu: 4.5% | epoch: 1 | remaining: 148s    
step 00358 (50.7%) | loss: 3.529489 | lrm: 1.00 | dt: 391ms | tok/sec: 1,339,849 | mfu: 5.3% | epoch: 1 | remaining: 147s    
step 00359 (50.8%) | loss: 3.531439 | lrm: 1.00 | dt: 402ms | tok/sec: 1,302,650 | mfu: 5.2% | epoch: 1 | remaining: 147s    
step 00360 (51.0%) | loss: 3.531535 | lrm: 1.00 | dt: 392ms | tok/sec: 1,338,578 | mfu: 5.3% | epoch: 1 | remaining: 147s    
step 00361 (51.1%) | loss: 3.529198 | lrm: 1.00 | dt: 409ms | tok/sec: 1,280,667 | mfu: 5.1% | epoch: 1 | remaining: 146s    
step 00362 (51.2%) | loss: 3.528004 | lrm: 1.00 | dt: 447ms | tok/sec: 1,172,315 | mfu: 4.7% | epoch: 1 | remaining: 146s    
step 00363 (51.4%) | loss: 3.520918 | lrm: 1.00 | dt: 469ms | tok/sec: 1,117,920 | mfu: 4.4% | epoch: 1 | remaining: 145s    
step 00364 (51.5%) | loss: 3.514868 | lrm: 1.00 | dt: 384ms | tok/sec: 1,365,211 | mfu: 5.4% | epoch: 1 | remaining: 145s    
step 00365 (51.7%) | loss: 3.512989 | lrm: 1.00 | dt: 425ms | tok/sec: 1,232,307 | mfu: 4.9% | epoch: 1 | remaining: 145s    
step 00366 (51.8%) | loss: 3.501987 | lrm: 1.00 | dt: 378ms | tok/sec: 1,387,807 | mfu: 5.5% | epoch: 1 | remaining: 144s    
step 00367 (51.9%) | loss: 3.496682 | lrm: 1.00 | dt: 435ms | tok/sec: 1,205,889 | mfu: 4.8% | epoch: 1 | remaining: 144s    
step 00368 (52.1%) | loss: 3.496876 | lrm: 1.00 | dt: 414ms | tok/sec: 1,266,445 | mfu: 5.0% | epoch: 1 | remaining: 143s    
step 00369 (52.2%) | loss: 3.498060 | lrm: 1.00 | dt: 411ms | tok/sec: 1,275,335 | mfu: 5.1% | epoch: 1 | remaining: 143s    
step 00370 (52.4%) | loss: 3.493382 | lrm: 1.00 | dt: 491ms | tok/sec: 1,067,438 | mfu: 4.2% | epoch: 1 | remaining: 142s    
step 00371 (52.5%) | loss: 3.496120 | lrm: 1.00 | dt: 405ms | tok/sec: 1,293,809 | mfu: 5.1% | epoch: 1 | remaining: 142s    
step 00372 (52.7%) | loss: 3.495467 | lrm: 1.00 | dt: 423ms | tok/sec: 1,239,166 | mfu: 4.9% | epoch: 1 | remaining: 142s    
step 00373 (52.8%) | loss: 3.486909 | lrm: 1.00 | dt: 400ms | tok/sec: 1,311,359 | mfu: 5.2% | epoch: 1 | remaining: 141s    
step 00374 (52.9%) | loss: 3.483122 | lrm: 1.00 | dt: 494ms | tok/sec: 1,061,957 | mfu: 4.2% | epoch: 1 | remaining: 141s    
step 00375 (53.1%) | loss: 3.477680 | lrm: 1.00 | dt: 386ms | tok/sec: 1,359,399 | mfu: 5.4% | epoch: 1 | remaining: 140s    
step 00376 (53.2%) | loss: 3.482858 | lrm: 1.00 | dt: 398ms | tok/sec: 1,318,196 | mfu: 5.2% | epoch: 1 | remaining: 140s    
step 00377 (53.4%) | loss: 3.478408 | lrm: 1.00 | dt: 460ms | tok/sec: 1,139,579 | mfu: 4.5% | epoch: 1 | remaining: 139s    
step 00378 (53.5%) | loss: 3.483052 | lrm: 1.00 | dt: 445ms | tok/sec: 1,178,754 | mfu: 4.7% | epoch: 1 | remaining: 139s    
step 00379 (53.7%) | loss: 3.484218 | lrm: 1.00 | dt: 436ms | tok/sec: 1,201,489 | mfu: 4.8% | epoch: 1 | remaining: 139s    
step 00380 (53.8%) | loss: 3.484496 | lrm: 1.00 | dt: 557ms | tok/sec: 941,110 | mfu: 3.7% | epoch: 1 | remaining: 138s    
step 00381 (54.0%) | loss: 3.478077 | lrm: 1.00 | dt: 499ms | tok/sec: 1,049,643 | mfu: 4.2% | epoch: 1 | remaining: 138s    
step 00382 (54.2%) | loss: 3.478271 | lrm: 1.00 | dt: 434ms | tok/sec: 1,208,297 | mfu: 4.8% | epoch: 1 | remaining: 137s    
step 00383 (54.3%) | loss: 3.479948 | lrm: 1.00 | dt: 458ms | tok/sec: 1,144,256 | mfu: 4.5% | epoch: 1 | remaining: 137s    
step 00384 (54.5%) | loss: 3.472431 | lrm: 1.00 | dt: 586ms | tok/sec: 894,561 | mfu: 3.6% | epoch: 1 | remaining: 136s    
step 00385 (54.7%) | loss: 3.487376 | lrm: 1.00 | dt: 443ms | tok/sec: 1,182,397 | mfu: 4.7% | epoch: 1 | remaining: 136s    
step 00386 (54.8%) | loss: 3.496906 | lrm: 1.00 | dt: 446ms | tok/sec: 1,175,996 | mfu: 4.7% | epoch: 1 | remaining: 135s    
step 00387 (54.9%) | loss: 3.495829 | lrm: 1.00 | dt: 485ms | tok/sec: 1,081,139 | mfu: 4.3% | epoch: 1 | remaining: 135s    
step 00388 (55.1%) | loss: 3.499879 | lrm: 1.00 | dt: 441ms | tok/sec: 1,188,075 | mfu: 4.7% | epoch: 1 | remaining: 134s    
step 00389 (55.3%) | loss: 3.493494 | lrm: 1.00 | dt: 413ms | tok/sec: 1,268,404 | mfu: 5.0% | epoch: 1 | remaining: 134s    
step 00390 (55.4%) | loss: 3.498001 | lrm: 1.00 | dt: 436ms | tok/sec: 1,203,369 | mfu: 4.8% | epoch: 1 | remaining: 133s    
step 00391 (55.5%) | loss: 3.491921 | lrm: 1.00 | dt: 438ms | tok/sec: 1,198,194 | mfu: 4.8% | epoch: 1 | remaining: 133s    
step 00392 (55.7%) | loss: 3.483706 | lrm: 1.00 | dt: 472ms | tok/sec: 1,111,300 | mfu: 4.4% | epoch: 1 | remaining: 132s    
step 00393 (55.8%) | loss: 3.484350 | lrm: 1.00 | dt: 476ms | tok/sec: 1,101,808 | mfu: 4.4% | epoch: 1 | remaining: 132s    
step 00394 (56.0%) | loss: 3.489293 | lrm: 1.00 | dt: 459ms | tok/sec: 1,142,604 | mfu: 4.5% | epoch: 1 | remaining: 132s    
step 00395 (56.2%) | loss: 3.483411 | lrm: 1.00 | dt: 394ms | tok/sec: 1,332,090 | mfu: 5.3% | epoch: 1 | remaining: 131s    
step 00396 (56.3%) | loss: 3.485087 | lrm: 1.00 | dt: 393ms | tok/sec: 1,335,165 | mfu: 5.3% | epoch: 1 | remaining: 131s    
step 00397 (56.4%) | loss: 3.495160 | lrm: 1.00 | dt: 466ms | tok/sec: 1,124,989 | mfu: 4.5% | epoch: 1 | remaining: 130s    
step 00398 (56.6%) | loss: 3.508649 | lrm: 1.00 | dt: 631ms | tok/sec: 830,952 | mfu: 3.3% | epoch: 1 | remaining: 130s    
step 00399 (56.8%) | loss: 3.503228 | lrm: 1.00 | dt: 506ms | tok/sec: 1,036,085 | mfu: 4.1% | epoch: 1 | remaining: 129s    
step 00400 (57.0%) | loss: 3.503548 | lrm: 1.00 | dt: 718ms | tok/sec: 730,482 | mfu: 2.9% | epoch: 1 | remaining: 128s    
step 00401 (57.2%) | loss: 3.493998 | lrm: 1.00 | dt: 584ms | tok/sec: 897,294 | mfu: 3.6% | epoch: 1 | remaining: 128s    
step 00402 (57.4%) | loss: 3.489122 | lrm: 1.00 | dt: 611ms | tok/sec: 857,948 | mfu: 3.4% | epoch: 1 | remaining: 127s    
step 00403 (57.6%) | loss: 3.492952 | lrm: 1.00 | dt: 576ms | tok/sec: 910,480 | mfu: 3.6% | epoch: 1 | remaining: 127s    
step 00404 (57.8%) | loss: 3.492157 | lrm: 1.00 | dt: 574ms | tok/sec: 913,010 | mfu: 3.6% | epoch: 1 | remaining: 126s    
step 00405 (58.0%) | loss: 3.481642 | lrm: 1.00 | dt: 457ms | tok/sec: 1,147,551 | mfu: 4.6% | epoch: 1 | remaining: 126s    
step 00406 (58.1%) | loss: 3.483957 | lrm: 1.00 | dt: 416ms | tok/sec: 1,260,719 | mfu: 5.0% | epoch: 1 | remaining: 125s    
step 00407 (58.3%) | loss: 3.485447 | lrm: 1.00 | dt: 387ms | tok/sec: 1,353,494 | mfu: 5.4% | epoch: 1 | remaining: 125s    
step 00408 (58.4%) | loss: 3.473608 | lrm: 1.00 | dt: 373ms | tok/sec: 1,406,880 | mfu: 5.6% | epoch: 1 | remaining: 124s    
step 00409 (58.5%) | loss: 3.476067 | lrm: 1.00 | dt: 433ms | tok/sec: 1,212,172 | mfu: 4.8% | epoch: 1 | remaining: 124s    
step 00410 (58.7%) | loss: 3.481569 | lrm: 1.00 | dt: 401ms | tok/sec: 1,306,467 | mfu: 5.2% | epoch: 1 | remaining: 124s    
step 00411 (58.8%) | loss: 3.491015 | lrm: 1.00 | dt: 449ms | tok/sec: 1,167,260 | mfu: 4.6% | epoch: 1 | remaining: 123s    
step 00412 (58.9%) | loss: 3.488172 | lrm: 1.00 | dt: 370ms | tok/sec: 1,415,500 | mfu: 5.6% | epoch: 1 | remaining: 123s    
step 00413 (59.1%) | loss: 3.482774 | lrm: 1.00 | dt: 405ms | tok/sec: 1,296,118 | mfu: 5.2% | epoch: 1 | remaining: 122s    
step 00414 (59.2%) | loss: 3.476844 | lrm: 1.00 | dt: 430ms | tok/sec: 1,218,377 | mfu: 4.8% | epoch: 1 | remaining: 122s    
step 00415 (59.3%) | loss: 3.478529 | lrm: 1.00 | dt: 417ms | tok/sec: 1,257,765 | mfu: 5.0% | epoch: 1 | remaining: 122s    
step 00416 (59.5%) | loss: 3.483366 | lrm: 1.00 | dt: 417ms | tok/sec: 1,256,594 | mfu: 5.0% | epoch: 1 | remaining: 121s    
step 00417 (59.6%) | loss: 3.485712 | lrm: 1.00 | dt: 377ms | tok/sec: 1,389,935 | mfu: 5.5% | epoch: 1 | remaining: 121s    
step 00418 (59.7%) | loss: 3.484190 | lrm: 1.00 | dt: 379ms | tok/sec: 1,384,697 | mfu: 5.5% | epoch: 1 | remaining: 120s    
step 00419 (59.9%) | loss: 3.480735 | lrm: 1.00 | dt: 408ms | tok/sec: 1,285,928 | mfu: 5.1% | epoch: 1 | remaining: 120s    
step 00420 (60.0%) | loss: 3.475903 | lrm: 1.00 | dt: 409ms | tok/sec: 1,280,444 | mfu: 5.1% | epoch: 1 | remaining: 120s    
step 00421 (60.1%) | loss: 3.466967 | lrm: 1.00 | dt: 410ms | tok/sec: 1,280,032 | mfu: 5.1% | epoch: 1 | remaining: 119s    
step 00422 (60.3%) | loss: 3.473984 | lrm: 1.00 | dt: 479ms | tok/sec: 1,095,462 | mfu: 4.4% | epoch: 1 | remaining: 119s    
step 00423 (60.4%) | loss: 3.482584 | lrm: 1.00 | dt: 380ms | tok/sec: 1,379,688 | mfu: 5.5% | epoch: 1 | remaining: 118s    
step 00424 (60.6%) | loss: 3.487289 | lrm: 1.00 | dt: 358ms | tok/sec: 1,462,474 | mfu: 5.8% | epoch: 1 | remaining: 118s    
step 00425 (60.7%) | loss: 3.491777 | lrm: 1.00 | dt: 378ms | tok/sec: 1,388,594 | mfu: 5.5% | epoch: 1 | remaining: 118s    
step 00426 (60.8%) | loss: 3.489370 | lrm: 1.00 | dt: 403ms | tok/sec: 1,299,840 | mfu: 5.2% | epoch: 1 | remaining: 117s    
step 00427 (60.9%) | loss: 3.492212 | lrm: 1.00 | dt: 431ms | tok/sec: 1,217,830 | mfu: 4.8% | epoch: 1 | remaining: 117s    
step 00428 (61.1%) | loss: 3.478644 | lrm: 1.00 | dt: 435ms | tok/sec: 1,204,566 | mfu: 4.8% | epoch: 1 | remaining: 116s    
step 00429 (61.2%) | loss: 3.466422 | lrm: 1.00 | dt: 423ms | tok/sec: 1,239,768 | mfu: 4.9% | epoch: 1 | remaining: 116s    
step 00430 (61.4%) | loss: 3.463478 | lrm: 1.00 | dt: 446ms | tok/sec: 1,174,309 | mfu: 4.7% | epoch: 1 | remaining: 115s    
step 00431 (61.5%) | loss: 3.469561 | lrm: 1.00 | dt: 414ms | tok/sec: 1,266,418 | mfu: 5.0% | epoch: 1 | remaining: 115s    
step 00432 (61.7%) | loss: 3.463985 | lrm: 1.00 | dt: 380ms | tok/sec: 1,380,950 | mfu: 5.5% | epoch: 1 | remaining: 115s    
step 00433 (61.8%) | loss: 3.463388 | lrm: 1.00 | dt: 441ms | tok/sec: 1,189,256 | mfu: 4.7% | epoch: 1 | remaining: 114s    
step 00434 (61.9%) | loss: 3.469000 | lrm: 1.00 | dt: 448ms | tok/sec: 1,169,287 | mfu: 4.6% | epoch: 1 | remaining: 114s    
step 00435 (62.1%) | loss: 3.462835 | lrm: 1.00 | dt: 427ms | tok/sec: 1,226,583 | mfu: 4.9% | epoch: 1 | remaining: 113s    
step 00436 (62.2%) | loss: 3.460072 | lrm: 1.00 | dt: 505ms | tok/sec: 1,039,150 | mfu: 4.1% | epoch: 1 | remaining: 113s    
step 00437 (62.4%) | loss: 3.462507 | lrm: 1.00 | dt: 436ms | tok/sec: 1,202,532 | mfu: 4.8% | epoch: 1 | remaining: 112s    
step 00438 (62.5%) | loss: 3.467843 | lrm: 1.00 | dt: 480ms | tok/sec: 1,093,118 | mfu: 4.3% | epoch: 1 | remaining: 112s    
step 00439 (62.7%) | loss: 3.461003 | lrm: 1.00 | dt: 549ms | tok/sec: 954,877 | mfu: 3.8% | epoch: 1 | remaining: 111s    
step 00440 (62.9%) | loss: 3.452154 | lrm: 1.00 | dt: 656ms | tok/sec: 798,937 | mfu: 3.2% | epoch: 1 | remaining: 111s    
step 00441 (63.1%) | loss: 3.464350 | lrm: 1.00 | dt: 621ms | tok/sec: 843,599 | mfu: 3.4% | epoch: 1 | remaining: 110s    
step 00442 (63.3%) | loss: 3.471471 | lrm: 1.00 | dt: 719ms | tok/sec: 729,366 | mfu: 2.9% | epoch: 1 | remaining: 109s    
step 00443 (63.6%) | loss: 3.460442 | lrm: 1.00 | dt: 822ms | tok/sec: 638,195 | mfu: 2.5% | epoch: 1 | remaining: 109s    
step 00444 (63.8%) | loss: 3.460219 | lrm: 1.00 | dt: 830ms | tok/sec: 631,333 | mfu: 2.5% | epoch: 1 | remaining: 108s    
step 00445 (64.1%) | loss: 3.459784 | lrm: 1.00 | dt: 687ms | tok/sec: 762,655 | mfu: 3.0% | epoch: 1 | remaining: 107s    
step 00446 (64.3%) | loss: 3.460571 | lrm: 1.00 | dt: 743ms | tok/sec: 705,608 | mfu: 2.8% | epoch: 1 | remaining: 106s    
step 00447 (64.6%) | loss: 3.457869 | lrm: 1.00 | dt: 870ms | tok/sec: 602,365 | mfu: 2.4% | epoch: 1 | remaining: 105s    
step 00448 (64.9%) | loss: 3.454806 | lrm: 1.00 | dt: 830ms | tok/sec: 631,828 | mfu: 2.5% | epoch: 1 | remaining: 105s    
step 00449 (65.1%) | loss: 3.456316 | lrm: 1.00 | dt: 806ms | tok/sec: 650,322 | mfu: 2.6% | epoch: 1 | remaining: 104s    
step 00450 (65.4%) | loss: 3.462666 | lrm: 1.00 | dt: 801ms | tok/sec: 654,543 | mfu: 2.6% | epoch: 1 | remaining: 103s    
step 00451 (65.7%) | loss: 3.467998 | lrm: 1.00 | dt: 641ms | tok/sec: 817,387 | mfu: 3.2% | epoch: 1 | remaining: 102s    
step 00452 (65.9%) | loss: 3.458361 | lrm: 1.00 | dt: 614ms | tok/sec: 853,685 | mfu: 3.4% | epoch: 1 | remaining: 102s    
step 00453 (66.1%) | loss: 3.458543 | lrm: 1.00 | dt: 503ms | tok/sec: 1,043,174 | mfu: 4.1% | epoch: 1 | remaining: 101s    
step 00454 (66.3%) | loss: 3.458537 | lrm: 1.00 | dt: 482ms | tok/sec: 1,086,994 | mfu: 4.3% | epoch: 1 | remaining: 101s    
step 00455 (66.4%) | loss: 3.464835 | lrm: 1.00 | dt: 539ms | tok/sec: 973,567 | mfu: 3.9% | epoch: 1 | remaining: 100s    
step 00456 (66.6%) | loss: 3.462971 | lrm: 1.00 | dt: 537ms | tok/sec: 975,440 | mfu: 3.9% | epoch: 1 | remaining: 100s    
step 00457 (66.8%) | loss: 3.466469 | lrm: 1.00 | dt: 455ms | tok/sec: 1,153,354 | mfu: 4.6% | epoch: 1 | remaining: 99s    
step 00458 (66.9%) | loss: 3.468907 | lrm: 1.00 | dt: 483ms | tok/sec: 1,085,866 | mfu: 4.3% | epoch: 1 | remaining: 99s    
step 00459 (67.1%) | loss: 3.473665 | lrm: 1.00 | dt: 594ms | tok/sec: 881,912 | mfu: 3.5% | epoch: 1 | remaining: 98s    
step 00460 (67.3%) | loss: 3.468923 | lrm: 1.00 | dt: 431ms | tok/sec: 1,217,394 | mfu: 4.8% | epoch: 1 | remaining: 98s    
step 00461 (67.4%) | loss: 3.463260 | lrm: 1.00 | dt: 462ms | tok/sec: 1,134,084 | mfu: 4.5% | epoch: 1 | remaining: 97s    
step 00462 (67.6%) | loss: 3.460815 | lrm: 1.00 | dt: 483ms | tok/sec: 1,085,074 | mfu: 4.3% | epoch: 1 | remaining: 97s    
step 00463 (67.8%) | loss: 3.464197 | lrm: 1.00 | dt: 466ms | tok/sec: 1,124,479 | mfu: 4.5% | epoch: 1 | remaining: 96s    
